name,id,group,x,y,i,j
riv_g1,1,riv_g,1301240.985531845,5047908.529465514,80,49
riv_g2,2,riv_g,1299824.6697228285,5044793.489386644,111,35
ter3,3,ter,1307218.8425344878,5041387.230917178,145,109
ter4,4,ter,1306161.4385835475,5044709.401875761,112,99
ter5,5,ter,1302900.7893093787,5045488.676545059,104,66
h_flat6,6,h_flat,1303937.2613306597,5047608.329864893,83,76
h_flat7,7,h_flat,1307227.3346169246,5049289.922877873,66,109
h_flat8,8,h_flat,1303577.3101921284,5053415.388186218,25,73
h_flat9,9,h_flat,1306148.814466471,5053840.145588676,20,98
h_flat10,10,h_flat,1304211.434104515,5049655.486576347,62,79
mang14,14,mang,1300109.2428788994,5048703.184555916,72,38
riv_g15,15,riv_g,1302027.519669645,5052451.074083339,34,57
h_flat17,17,h_flat,1307583.8056909926,5055140.247638093,7,113
riv_g18,18,riv_g,1301843.8407929062,5050295.7172641065,56,55
h_flat19,19,h_flat,1307629.4546852459,5052068.206986275,38,113
h_flat23,23,h_flat,1305180.1779054708,5051903.703321962,40,89
ter24,24,ter,1302273.9465026031,5043952.692880155,119,60
ter25,25,ter,1305271.568830089,5042728.054490267,131,90
ter26,26,ter,1307209.0564320006,5047169.6534267245,87,109
riv_g27,27,riv_g,1299331.1587298887,5046529.916954395,93,30
sandy50,50,sandy,1306893.9237548586,5038653.721788968,172,106
sandy51,51,sandy,1309720.9793044168,5039070.109815648,168,134
mang52,52,mang,1299634.5272370968,5050285.192586858,56,33
mang53,53,mang,1298210.0418826682,5050241.36226826,56,19
mang54,54,mang,1298078.5509268749,5051698.720361637,42,18
mang55,55,mang,1296566.4049352503,5051128.926219866,47,3
mang56,56,mang,1296785.5565282395,5052126.065967966,37,5
